id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_476_2hop_749,형사,C0,,,,5,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:형법 제286조, 제287조, 제288조, →논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_476_2hop_749,형사,C1,criminal-law-verification,,0134,10,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:형법 제287조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_476_2hop_749,형사,C2,criminal-law-verification,형사,01234,3,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:형법 제335조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C0,,,,4,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:형법 제307조 성폭력범죄의 처벌 등에 관한→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C1,criminal-law-verification,,013,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:형법 제307조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C2,criminal-law-verification,형사,0134,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:형법 제307조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_92_1hop_149,형사,C0,,,,4,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:형법 도난죄 관련 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_92_1hop_149,형사,C1,criminal-law-verification,,013,10,0,4,4,0,1,1,0,7,8,8,max_steps,1,0,검색:형법 제319조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_92_1hop_149,형사,C2,criminal-law-verification,형사,013,7,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:형법 제328조 제330조 제331조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,형사,C0,,,,2,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:민사소송법 제276조 전자거래법 제18조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,형사,C1,criminal-law-verification,,01234,4,0,0,0,2,2,1,0,7,8,8,max_steps,1,0,검색:형사법 계약서 위조 발급 문서 변조 관련 법→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,형사,C2,criminal-law-verification,형사,0134,10,0,2,2,1,2,1,0,7,8,8,max_steps,1,0,"검색:형사법 제328조, 제329조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_488_2hop_766,형사,C0,,,,8,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:저작권법 개정 내용 및 상표법 제86조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_488_2hop_766,형사,C1,criminal-law-verification,,01234,8,0,0,0,0,2,2,0,6,8,8,max_steps,1,0,검색:저작권법 개정 내용 검색→검색:상표법 제96조 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_488_2hop_766,형사,C2,criminal-law-verification,형사,0134,4,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:저작권법 제137조 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_192_2hop_334,형사,C0,,,,8,2,2,0,0,2,1,0,7,8,8,max_steps,1,0,검색:형사소송법 제3조 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_192_2hop_334,형사,C1,criminal-law-verification,,0134,6,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:형사법 제367조, 제368조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_192_2hop_334,형사,C2,criminal-law-verification,형사,013,5,0,0,0,0,2,2,0,6,8,8,max_steps,1,0,검색:전자기록 위조 변조 관련 법조문 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→검색:공무원 전자기록 위조 변조 관련 특별법 조문
qa_401_2hop_619,민사,C0,,,,6,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:토지공동소유법 민법 매각 동의 지분 매각→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_401_2hop_619,민사,C1,civil-law-verification,,013,3,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:민법 제378조, 제379조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_401_2hop_619,민사,C2,civil-law-verification,민사,014,5,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:민법 제378조, 제379조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
