id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_139_1hop_254,기타,C0,,,,0,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:형사처벌 수감자 선거권→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_139_1hop_254,기타,C1,,,,1,0,0,0,0,1,4,0,4,8,8,max_steps,0,0,검색:「選舉法」 「刑事訴訟法」→검색:「刑事訴訟법」 제38조→논리검증→검색:「公職選舉法」 제14조→논리검증→논리검증→검색:「公職選舉法」 제14조→논리검증
qa_139_1hop_254,기타,C2,,기타,,0,0,0,0,0,1,5,0,3,8,8,max_steps,0,0,"검색:「選舉法」 제10조, 「刑事訴訟法」 제38조→검색:「刑事訴訟法」第38条→논리검증→검색:「公職選舉法」第94条→논리검증→검색:「公職選舉法」第94条→논리검증→검색:「公職選舉法」第94条"
qa_172_1hop_308,기타,C0,,,,0,0,0,0,0,1,2,0,6,8,8,max_steps,1,0,검색:민사소송법 변론조서 법적 효력→논리검증→검색:민사소송법 변론조서 법적 효력→논리검증→논리검증→논리검증→논리검증→논리검증
qa_172_1hop_308,기타,C1,,,,3,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:민사소송법 변론조서 법적 효력→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_172_1hop_308,기타,C2,,기타,,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:민사소송법 변론조서 법적 효력→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_90_2hop_147,기타,C0,,,,2,0,0,0,1,2,3,0,5,8,8,max_steps,1,0,"검색:보험업법 제60조, 민법 제718조→논리검증→검색:손해보험약관→논리검증→검색:보험약관→논리검증→논리검증→논리검증"
qa_90_2hop_147,기타,C1,,,,3,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:보험업법 제60조, 민법 제718조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_90_2hop_147,기타,C2,,기타,,2,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:보험업법 제60조, 제61조, 제62조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_116_2hop_452_rand,기타,C0,,,,5,0,0,0,2,2,1,0,7,8,8,max_steps,1,0,검색:별정우체국 지정 해지 절차 및 시설 철거 관→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_116_2hop_452_rand,기타,C1,,,,5,0,0,0,2,2,1,0,7,8,8,max_steps,1,0,검색:별정우체국 지정 해지 절차 및 시설 철거 관→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_116_2hop_452_rand,기타,C2,,기타,,9,8,8,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:우편법 제67조, 제68조, 제69조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_257_2hop_983_rand,기타,C0,,,,1,0,0,0,0,1,2,0,6,8,8,max_steps,1,0,검색:전자거래법 제16조 elektronice c→검색:전자거래법 제16조 elektronice c→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_257_2hop_983_rand,기타,C1,,,,4,1,1,0,0,1,3,0,5,8,8,max_steps,1,0,검색:전자거래법 제16조→검색:전자거래법 제16조 매입자발행계산서→논리검증→검색:전자거래기본법 제16조→논리검증→논리검증→논리검증→논리검증
qa_257_2hop_983_rand,기타,C2,civil-law-verification,민사,01234,3,1,2,1,1,1,2,0,6,8,8,max_steps,1,0,검색:매입자발행계산서 관련 법령 검색→검색:매입자발행계산서 발급 및 확인신청 관련 대통→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_140_3hop_540_rand,기타,C0,,,,4,0,0,0,0,3,1,0,7,8,8,max_steps,1,0,검색:법무사법 제6조 제10조 제11조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_140_3hop_540_rand,기타,C1,,,,6,0,0,0,0,3,2,0,6,8,8,max_steps,1,0,"검색:법무사법 제10조, 제11조, 제12조→검색:법무사법 제10조, 제11조, 제12조 수정→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_140_3hop_540_rand,기타,C2,,기타,,7,0,0,0,0,3,1,0,7,8,8,max_steps,1,0,"검색:법무사법 제10조, 제11조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_19_1hop_28,기타,C0,,,,3,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,"검색:민법 제206조, 제217조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_19_1hop_28,기타,C1,,,,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,"검색:민법 제206조, 제217조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_19_1hop_28,기타,C2,civil-law-verification,민사,01234,1,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:민법 제622조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_86_3hop_140,기타,C0,,,,2,2,2,0,0,3,2,0,6,8,8,max_steps,1,0,"검색:산업안전보건법 제60조, 노동기본법 제78조→논리검증→논리검증→논리검증→검색:산업재해보상보험법 제37조→논리검증→논리검증→논리검증"
qa_86_3hop_140,기타,C1,,,,3,1,1,0,0,3,1,0,7,8,8,max_steps,1,0,검색:산업안전보건법 산재 의료사고 추가 상해 인정→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_86_3hop_140,기타,C2,,기타,,6,4,4,0,0,3,1,0,7,8,8,max_steps,1,0,검색:산재보험 의료사고 추가 상해 인정 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_163_2hop_630_rand,기타,C0,,,,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:현금영수증 발급 거부 포상금 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_163_2hop_630_rand,기타,C1,,,,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:현금영수증 발급 거부 포상금 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_163_2hop_630_rand,기타,C2,,기타,,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:현금영수증 발급 거부 포상금 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_49_2hop_192_rand,기타,C0,,,,7,1,1,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_49_2hop_192_rand,기타,C1,,,,4,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_49_2hop_192_rand,기타,C2,,기타,,4,0,0,0,0,2,2,0,6,8,8,max_steps,1,0,"검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증→논리검증→논리검증→검색:도로관리법 제10조→논리검증→논리검증→논리검증"
qa_621_2hop_937,기타,C0,,,,3,3,3,0,0,2,1,0,7,8,8,max_steps,1,0,검색:강제수용 취소소송 자격 및 집행정지 요건→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_621_2hop_937,기타,C1,,,,4,3,3,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:강제수용 취소소송, 집행정지 요건→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_621_2hop_937,기타,C2,civil-law-verification,민사,013,8,2,2,0,0,2,1,0,7,8,8,max_steps,1,0,검색:강제수용 취소소송 집행정지 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_213_2hop_812_rand,기타,C0,,,,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,"검색:천연가스 버스, 전기버스, 수소전기버스 취득→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_213_2hop_812_rand,기타,C1,,,,5,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,"검색:천연가스 버스, 전기버스, 수소전기버스 취득→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_213_2hop_812_rand,기타,C2,,기타,,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,"검색:천연가스 버스, 전기버스, 수소전기버스 취득→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_61_1hop_93,기타,C0,,,,5,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:헌법재판소법 제16조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_61_1hop_93,기타,C1,,,,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:헌법재판소법 제16조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_61_1hop_93,기타,C2,,기타,,6,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:헌법재판소법 제16조 및 제17조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_99_2hop_168,기타,C0,,,,4,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:부당해고 관련 법조문 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_99_2hop_168,기타,C1,,,,5,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,검색:부당해고 관련 법령 명세→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_99_2hop_168,기타,C2,,기타,,2,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,검색:부당해고 관련 법령 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
