id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,answer_miss,gate_unmet,seq
qa_172_1hop_308,A,3,0,0,0,0,1,0,1,1,2,1,finish,0,0,0,0,생성→사실검증→논리검증→종료
qa_172_1hop_308,B,5,0,0,0,0,1,1,0,0,1,2,finish,0,0,0,0,"검색:민사소송법 제229조, 제230조, 제231→종료"
qa_172_1hop_308,C,5,0,0,0,0,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_116_2hop_452_rand,A,4,0,0,0,1,2,0,2,2,4,2,finish,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_116_2hop_452_rand,B,2,0,0,0,2,2,1,0,0,1,2,finish,0,0,0,0,검색:별정우체국 지정 해지 절차 및 지정 취소 시→종료
qa_116_2hop_452_rand,C,4,0,0,0,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_139_1hop_254,A,3,0,0,0,0,1,0,3,3,6,3,finish,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_139_1hop_254,B,2,1,2,1,0,1,1,0,0,1,2,finish,0,0,0,0,검색:선거권 제한 관련 형법 및 공직선거법 세부 →종료
qa_139_1hop_254,C,5,1,1,0,0,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_19_1hop_28,A,4,0,0,0,1,1,0,3,3,6,3,finish,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_19_1hop_28,B,3,0,0,0,0,1,1,0,0,1,2,finish,0,0,0,0,"검색:민법 제766조, 민법 제162조, 민법 제→종료"
qa_19_1hop_28,C,3,0,0,0,0,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_49_2hop_192_rand,A,3,0,0,0,1,2,0,3,3,6,3,finish,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_49_2hop_192_rand,B,2,1,1,0,0,2,1,0,0,1,2,finish,0,0,0,0,"검색:도로법 시행령, 국토교통부 내부 규정, 행정→종료"
qa_49_2hop_192_rand,C,3,0,1,1,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
